,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x,sig_x,sig_y,sig_z,zfunc,yfunc,qyz,cpeak,conc,dose,dinf
95,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,950.5,89.1504990304032,150.5558857715056,99.05312157049522,0.008055117780355437,0.0026497953125983803,21.34441333681371,0.09551476461747298,0.0,7.11480444560457,7.11480444560457
96,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,960.4000000000001,90.01317946335507,151.78570307772077,100.04272650796825,0.00797543798148539,0.002628325806134437,20.962049461962792,0.09290470422331375,0.0,6.987349820654264,6.987349820654264
97,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,970.3000000000001,90.87523229017434,153.0127994616138,101.0319174265339,0.007897351461670216,0.0026072477714618575,20.590351998890714,0.09039164768763752,0.0,6.863450666296904,6.863450666296904
98,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,980.2,91.73666436419441,154.23720861403638,102.02069872115611,0.007820810588107432,0.002586550184526141,20.228919069813276,0.08797105453637132,0.0,6.742973023271092,6.742973023271092
99,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,990.1,92.59748239546884,155.45896347295292,103.0090746962326,0.007745769614164384,0.002566222438957928,19.877367790867137,0.0856386397310362,0.0,6.625789263622378,6.625789263622378
100,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,1000.0,93.45769295516922,156.67811622217494,103.99705985982185,0.007672183827518311,0.002546254001648315,19.535328772199986,0.08339033804859314,0.0,6.511776257399995,6.511776257399995
0,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,10.0,2.185466501941886,7.44339645746898,1.0804219896861649,0.7384931319966245,0.053596806603136024,39580.87357336729,7225.223516173498,0.0,13193.593211312595,13193.593211312595
1,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,19.9,3.310110820714194,11.1493229430951,3.0395558945510377,0.2625003603495199,0.035781749478205054,9392.722131965073,1132.032789673991,0.0,3130.907374450957,3130.907374450957
2,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,29.8,4.40585125155368,14.255751954740699,5.574329003356347,0.14313553209429156,0.027984653609855064,4005.598284921042,362.7000601972089,0.0,1335.199428298036,1335.199428298036
3,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,39.7,5.481043185079845,16.77892904607732,6.674417277150001,0.11954370227631297,0.02377638520944219,2842.3171146844884,206.88041182432897,0.0,947.439038227955,947.439038227955
