ID,istab,wind,x,y,z,icurve,t,sig_x,sig_y,sig_z, zfunc, cpeak, concentration, dinf, dose
74,3,3,37026,0,6.95264e-310,0,1e+06,2681.54,3786.64,4344.08,0.01,-999,0,-999,0.351184
75,3,3,37525,0,6.95264e-310,0,1e+06,2715.12,3828.89,4386.28,0.01,-999,0,-999,0.347309
76,3,3,38024,0,6.95264e-310,0,1e+06,2748.66,3871.04,4428.32,0.01,-999,0,-999,0.343527
77,3,3,38523,0,6.95264e-310,0,1e+06,2782.17,3913.1,4470.2,0.01,-999,0,-999,0.339834
78,3,3,39022,0,6.95264e-310,0,1e+06,2815.64,3955.07,4511.94,0.01,-999,0,-999,0.336229
79,3,3,39521,0,6.95264e-310,0,1e+06,2849.09,3996.95,4553.52,0.01,-999,0,-999,0.332706
80,3,3,40020,0,6.95264e-310,0,1e+06,2882.51,4038.73,4594.97,0.01,-999,0,-999,0.329264
81,3,3,40519,0,6.95264e-310,0,1e+06,2915.9,4080.43,4636.26,0.01,-999,0,-999,0.325899
82,3,3,41018,0,6.95264e-310,0,1e+06,2949.26,4122.03,4677.42,0.01,-999,0,-999,0.32261
83,3,3,41517,0,6.95264e-310,0,1e+06,2982.59,4163.55,4718.44,0.01,-999,0,-999,0.319392
84,3,3,42016,0,6.95264e-310,0,1e+06,3015.9,4204.99,4759.32,0.01,-999,0,-999,0.316245
85,3,3,42515,0,6.95264e-310,0,1e+06,3049.17,4246.34,4800.06,0.01,-999,0,-999,0.313166
86,3,3,43014,0,6.95264e-310,0,1e+06,3082.42,4287.61,4840.68,0.01,-999,0,-999,0.310151
87,3,3,43513,0,6.95264e-310,0,1e+06,3115.64,4328.8,4881.16,0.01,-999,0,-999,0.3072
88,3,3,44012,0,6.95264e-310,0,1e+06,3148.83,4369.9,4921.51,0.01,-999,0,-999,0.304311
89,3,3,44511,0,6.95264e-310,0,1e+06,3182,4410.93,4961.74,0.01,-999,0,-999,0.30148
90,3,3,45010,0,6.95264e-310,0,1e+06,3215.14,4451.88,5001.84,0.01,-999,0,-999,0.298707
91,3,3,45509,0,6.95264e-310,0,1e+06,3248.26,4492.75,5041.82,0.01,-999,0,-999,0.29599
92,3,3,46008,0,6.95264e-310,0,1e+06,3281.35,4533.54,5081.68,0.01,-999,0,-999,0.293327
93,3,3,46507,0,6.95264e-310,0,1e+06,3314.41,4574.26,5121.42,0.01,-999,0,-999,0.290716
94,3,3,47006,0,6.95264e-310,0,1e+06,3347.45,4614.9,5161.03,0.01,-999,0,-999,0.288155
95,3,3,47505,0,6.95264e-310,0,1e+06,3380.46,4655.47,5200.54,0.01,-999,0,-999,0.285644
96,3,3,48004,0,6.95264e-310,0,1e+06,3413.45,4695.97,5239.92,0.01,-999,0,-999,0.283181
97,3,3,48503,0,6.95264e-310,0,1e+06,3446.42,4736.39,5279.19,0.01,-999,0,-999,0.280764
98,3,3,49002,0,6.95264e-310,0,1e+06,3479.36,4776.74,5318.36,0.01,-999,0,-999,0.278392
99,3,3,49501,0,6.95264e-310,0,1e+06,3512.28,4817.03,5357.41,0.01,-999,0,-999,0.276064
100,3,3,50000,0,6.95264e-310,0,1e+06,3545.17,4857.24,5396.35,0.01,-999,0,-999,0.273778
101,3,3,100,0,6.95264e-310,1,1e+06,10.9955,28.2936,11.9315,0.066872,-999,0,-999,314.3
102,3,3,599,0,6.95264e-310,1,1e+06,58.0437,104.775,63.6037,0.0125446,-999,0,-999,15.9217
103,3,3,1098,0,6.95264e-310,1,1e+06,101.941,170.633,114.813,0.00698156,-999,0,-999,5.441
104,3,3,1597,0,6.95264e-310,1,1e+06,144.4,240.187,170.683,0.00527469,-999,0,-999,2.92037
105,3,3,2096,0,6.95264e-310,1,1e+06,185.916,309.557,225.003,0.005,-999,0,-999,2.14792
106,3,3,2595,0,6.95264e-310,1,1e+06,226.733,378.906,277.891,0.005,-999,0,-999,1.7548
107,3,3,3094,0,6.95264e-310,1,1e+06,266.996,447.542,330.663,0.005,-999,0,-999,1.48568
108,3,3,3593,0,6.95264e-310,1,1e+06,306.801,510.295,373.638,0.005,-999,0,-999,1.30298
109,3,3,4092,0,6.95264e-310,1,1e+06,346.216,571.111,413.952,0.005,-999,0,-999,1.16423
110,3,3,4591,0,6.95264e-310,1,1e+06,385.293,630.937,453.233,0.005,-999,0,-999,1.05384
111,3,3,5090,0,6.95264e-310,1,1e+06,424.071,689.895,491.618,0.005,-999,0,-999,0.963776
112,3,3,5589,0,6.95264e-310,1,1e+06,462.58,748.08,529.211,0.005,-999,0,-999,0.888813
113,3,3,6088,0,6.95264e-310,1,1e+06,500.847,807.973,587.996,0.005,-999,0,-999,0.822929
114,3,3,6587,0,6.95264e-310,1,1e+06,538.894,867.562,649.662,0.005,-999,0,-999,0.766405
115,3,3,7086,0,6.95264e-310,1,1e+06,576.737,926.717,712.585,0.005,-999,0,-999,0.717483
116,3,3,7585,0,6.95264e-310,1,1e+06,614.392,985.469,776.699,0.005,-999,0,-999,0.674708
117,3,3,8084,0,6.95264e-310,1,1e+06,651.872,1043.85,841.945,0.005,-999,0,-999,0.636973
118,3,3,8583,0,6.95264e-310,1,1e+06,689.19,1101.88,908.273,0.005,-999,0,-999,0.603426
119,3,3,9082,0,6.95264e-310,1,1e+06,726.354,1159.59,975.634,0.005,-999,0,-999,0.573397
120,3,3,9581,0,6.95264e-310,1,1e+06,763.375,1216.99,1043.99,0.005,-999,0,-999,0.546353
121,3,3,10080,0,6.95264e-310,1,1e+06,800.26,1273.44,1111.76,0.005,-999,0,-999,0.52213
122,3,3,10579,0,6.95264e-310,1,1e+06,837.015,1326.11,1172.01,0.005,-999,0,-999,0.501392
123,3,3,11078,0,6.95264e-310,1,1e+06,873.649,1378.39,1232.53,0.005,-999,0,-999,0.482378
124,3,3,11577,0,6.95264e-310,1,1e+06,910.166,1430.28,1293.31,0.005,-999,0,-999,0.464877
125,3,3,12076,0,6.95264e-310,1,1e+06,946.573,1481.81,1354.32,0.005,-999,0,-999,0.44871
126,3,3,12575,0,6.95264e-310,1,1e+06,982.873,1533,1415.57,0.005,-999,0,-999,0.433726
127,3,3,13074,0,6.95264e-310,1,1e+06,1019.07,1583.87,1477.05,0.005,-999,0,-999,0.419797
128,3,3,13573,0,6.95264e-310,1,1e+06,1055.17,1634.42,1538.74,0.005,-999,0,-999,0.406813
129,3,3,14072,0,6.95264e-310,1,1e+06,1091.18,1684.68,1600.64,0.005,-999,0,-999,0.394678
130,3,3,14571,0,6.95264e-310,1,1e+06,1127.1,1734.64,1662.75,0.005,-999,0,-999,0.383309
131,3,3,15070,0,6.95264e-310,1,1e+06,1162.93,1784.34,1725.05,0.005,-999,0,-999,0.372634
132,3,3,15569,0,6.95264e-310,1,1e+06,1198.68,1833.76,1787.54,0.005,-999,0,-999,0.36259
133,3,3,16068,0,6.95264e-310,1,1e+06,1234.34,1882.94,1850.22,0.005,-999,0,-999,0.353121
134,3,3,16567,0,6.95264e-310,1,1e+06,1269.93,1931.86,1913.08,0.005,-999,0,-999,0.344177
135,3,3,17066,0,6.95264e-310,1,1e+06,1305.44,1980.55,1976.11,0.005,-999,0,-999,0.335716
136,3,3,17565,0,6.95264e-310,1,1e+06,1340.88,2029.02,2039.32,0.005,-999,0,-999,0.327698
137,3,3,18064,0,6.95264e-310,1,1e+06,1376.25,2077.26,2102.69,0.005,-999,0,-999,0.320088
138,3,3,18563,0,6.95264e-310,1,1e+06,1411.55,2125.28,2166.22,0.005,-999,0,-999,0.312855
139,3,3,19062,0,6.95264e-310,1,1e+06,1446.78,2173.1,2229.91,0.005,-999,0,-999,0.30597
140,3,3,19561,0,6.95264e-310,1,1e+06,1481.95,2220.71,2293.75,0.005,-999,0,-999,0.29941
141,3,3,20060,0,6.95264e-310,1,1e+06,1517.05,2268.14,2357.75,0.005,-999,0,-999,0.29315
142,3,3,20559,0,6.95264e-310,1,1e+06,1552.1,2315.37,2421.89,0.005,-999,0,-999,0.28717
143,3,3,21058,0,6.95264e-310,1,1e+06,1587.08,2362.41,2486.18,0.005,-999,0,-999,0.281451
144,3,3,21557,0,6.95264e-310,1,1e+06,1622,2409.28,2550.61,0.005,-999,0,-999,0.275976
145,3,3,22056,0,6.95264e-310,1,1e+06,1656.87,2455.97,2615.17,0.005,-999,0,-999,0.270729
146,3,3,22555,0,6.95264e-310,1,1e+06,1691.68,2502.5,2679.87,0.005,-999,0,-999,0.265696
147,3,3,23054,0,6.95264e-310,1,1e+06,1726.44,2548.85,2744.71,0.005,-999,0,-999,0.260864
148,3,3,23553,0,6.95264e-310,1,1e+06,1761.14,2595.05,2809.67,0.005,-999,0,-999,0.25622
149,3,3,24052,0,6.95264e-310,1,1e+06,1795.79,2641.09,2874.76,0.005,-999,0,-999,0.251754
150,3,3,24551,0,6.95264e-310,1,1e+06,1830.4,2686.97,2939.97,0.005,-999,0,-999,0.247455
151,3,3,25050,0,6.95264e-310,1,1e+06,1864.95,2732.7,3005.31,0.005,-999,0,-999,0.243313
152,3,3,25549,0,6.95264e-310,1,1e+06,1899.45,2778.29,3070.77,0.005,-999,0,-999,0.239321
153,3,3,26048,0,6.95264e-310,1,1e+06,1933.91,2823.74,3136.35,0.005,-999,0,-999,0.23547
154,3,3,26547,0,6.95264e-310,1,1e+06,1968.32,2869.04,3202.04,0.005,-999,0,-999,0.231751
155,3,3,27046,0,6.95264e-310,1,1e+06,2002.68,2914.21,3267.85,0.005,-999,0,-999,0.228159
156,3,3,27545,0,6.95264e-310,1,1e+06,2037,2959.24,3333.76,0.005,-999,0,-999,0.224687
157,3,3,28044,0,6.95264e-310,1,1e+06,2071.27,3004.14,3399.79,0.005,-999,0,-999,0.221329
158,3,3,28543,0,6.95264e-310,1,1e+06,2105.5,3048.91,3465.93,0.005,-999,0,-999,0.218079
159,3,3,29042,0,6.95264e-310,1,1e+06,2139.69,3093.56,3532.18,0.005,-999,0,-999,0.214932
160,3,3,29541,0,6.95264e-310,1,1e+06,2173.84,3138.08,3598.53,0.005,-999,0,-999,0.211882
161,3,3,30040,0,6.95264e-310,1,1e+06,2207.95,3182.49,3664.98,0.005,-999,0,-999,0.208926
162,3,3,30539,0,6.95264e-310,1,1e+06,2242.02,3226.77,3731.54,0.005,-999,0,-999,0.206059
163,3,3,31038,0,6.95264e-310,1,1e+06,2276.04,3270.94,3798.2,0.005,-999,0,-999,0.203276
164,3,3,31537,0,6.95264e-310,1,1e+06,2310.03,3314.99,3864.95,0.005,-999,0,-999,0.200575
165,3,3,32036,0,6.95264e-310,1,1e+06,2343.99,3358.5,3912.95,0.005,-999,0,-999,0.197977
166,3,3,32535,0,6.95264e-310,1,1e+06,2377.9,3401.8,3956.86,0.005,-999,0,-999,0.195456
167,3,3,33034,0,6.95264e-310,1,1e+06,2411.78,3444.99,4000.59,0.005,-999,0,-999,0.193006
168,3,3,33533,0,6.95264e-310,1,1e+06,2445.62,3488.07,4044.13,0.005,-999,0,-999,0.190623
169,3,3,34032,0,6.95264e-310,1,1e+06,2479.42,3531.03,4087.49,0.005,-999,0,-999,0.188303
170,3,3,34531,0,6.95264e-310,1,1e+06,2513.2,3573.89,4130.68,0.005,-999,0,-999,0.186045
171,3,3,35030,0,6.95264e-310,1,1e+06,2546.93,3616.65,4173.7,0.005,-999,0,-999,0.183845
172,3,3,35529,0,6.95264e-310,1,1e+06,2580.63,3659.3,4216.54,0.005,-999,0,-999,0.181703
173,3,3,36028,0,6.95264e-310,1,1e+06,2614.3,3701.85,4259.22,0.005,-999,0,-999,0.179614
174,3,3,36527,0,6.95264e-310,1,1e+06,2647.94,3744.29,4301.73,0.005,-999,0,-999,0.177578
175,3,3,37026,0,6.95264e-310,1,1e+06,2681.54,3786.64,4344.08,0.005,-999,0,-999,0.175592
176,3,3,37525,0,6.95264e-310,1,1e+06,2715.12,3828.89,4386.28,0.005,-999,0,-999,0.173654
177,3,3,38024,0,6.95264e-310,1,1e+06,2748.66,3871.04,4428.32,0.005,-999,0,-999,0.171763
178,3,3,38523,0,6.95264e-310,1,1e+06,2782.17,3913.1,4470.2,0.005,-999,0,-999,0.169917
179,3,3,39022,0,6.95264e-310,1,1e+06,2815.64,3955.07,4511.94,0.005,-999,0,-999,0.168114
180,3,3,39521,0,6.95264e-310,1,1e+06,2849.09,3996.95,4553.52,0.005,-999,0,-999,0.166353
181,3,3,40020,0,6.95264e-310,1,1e+06,2882.51,4038.73,4594.97,0.005,-999,0,-999,0.164632
182,3,3,40519,0,6.95264e-310,1,1e+06,2915.9,4080.43,4636.26,0.005,-999,0,-999,0.16295
183,3,3,41018,0,6.95264e-310,1,1e+06,2949.26,4122.03,4677.42,0.005,-999,0,-999,0.161305
184,3,3,41517,0,6.95264e-310,1,1e+06,2982.59,4163.55,4718.44,0.005,-999,0,-999,0.159696
185,3,3,42016,0,6.95264e-310,1,1e+06,3015.9,4204.99,4759.32,0.005,-999,0,-999,0.158123
186,3,3,42515,0,6.95264e-310,1,1e+06,3049.17,4246.34,4800.06,0.005,-999,0,-999,0.156583
187,3,3,43014,0,6.95264e-310,1,1e+06,3082.42,4287.61,4840.68,0.005,-999,0,-999,0.155076
188,3,3,43513,0,6.95264e-310,1,1e+06,3115.64,4328.8,4881.16,0.005,-999,0,-999,0.1536
189,3,3,44012,0,6.95264e-310,1,1e+06,3148.83,4369.9,4921.51,0.005,-999,0,-999,0.152155
190,3,3,44511,0,6.95264e-310,1,1e+06,3182,4410.93,4961.74,0.005,-999,0,-999,0.15074
191,3,3,45010,0,6.95264e-310,1,1e+06,3215.14,4451.88,5001.84,0.005,-999,0,-999,0.149354
192,3,3,45509,0,6.95264e-310,1,1e+06,3248.26,4492.75,5041.82,0.005,-999,0,-999,0.147995
193,3,3,46008,0,6.95264e-310,1,1e+06,3281.35,4533.54,5081.68,0.005,-999,0,-999,0.146663
194,3,3,46507,0,6.95264e-310,1,1e+06,3314.41,4574.26,5121.42,0.005,-999,0,-999,0.145358
195,3,3,47006,0,6.95264e-310,1,1e+06,3347.45,4614.9,5161.03,0.005,-999,0,-999,0.144078
196,3,3,47505,0,6.95264e-310,1,1e+06,3380.46,4655.47,5200.54,0.005,-999,0,-999,0.142822
197,3,3,48004,0,6.95264e-310,1,1e+06,3413.45,4695.97,5239.92,0.005,-999,0,-999,0.14159
198,3,3,48503,0,6.95264e-310,1,1e+06,3446.42,4736.39,5279.19,0.005,-999,0,-999,0.140382
199,3,3,49002,0,6.95264e-310,1,1e+06,3479.36,4776.74,5318.36,0.005,-999,0,-999,0.139196
200,3,3,49501,0,6.95264e-310,1,1e+06,3512.28,4817.03,5357.41,0.005,-999,0,-999,0.138032
201,3,3,50000,0,6.95264e-310,1,1e+06,3545.17,4857.24,5396.35,0.005,-999,0,-999,0.136889
202,3,3,100,0,6.95264e-310,2,1e+06,10.9955,28.2936,11.9315,0.066872,-999,0,-999,314.3
203,3,3,599,0,6.95264e-310,2,1e+06,58.0437,104.775,63.6037,0.0125446,-999,0,-999,15.9217
204,3,3,1098,0,6.95264e-310,2,1e+06,101.941,170.633,114.813,0.0069494,-999,0,-999,5.41594
205,3,3,1597,0,6.95264e-310,2,1e+06,144.4,240.187,170.683,0.00467464,-999,0,-999,2.58815
206,3,3,2096,0,6.95264e-310,2,1e+06,185.916,309.557,225.003,0.00354611,-999,0,-999,1.52335
207,3,3,2595,0,6.95264e-310,2,1e+06,226.733,378.906,277.891,0.00288007,-999,0,-999,1.01079
208,3,3,3094,0,6.95264e-310,2,1e+06,266.996,447.542,330.663,0.00246283,-999,0,-999,0.731794
209,3,3,3593,0,6.95264e-310,2,1e+06,306.801,510.295,373.638,0.00225432,-999,0,-999,0.587467
210,3,3,4092,0,6.95264e-310,2,1e+06,346.216,571.111,413.952,0.00213583,-999,0,-999,0.497319
211,3,3,4591,0,6.95264e-310,2,1e+06,385.293,630.937,453.233,0.00206915,-999,0,-999,0.436108
212,3,3,5090,0,6.95264e-310,2,1e+06,424.071,689.895,491.618,0.00203307,-999,0,-999,0.391885
213,3,3,5589,0,6.95264e-310,2,1e+06,462.58,748.08,529.211,0.002,-999,0,-999,0.355525
214,3,3,6088,0,6.95264e-310,2,1e+06,500.847,807.973,587.996,0.002,-999,0,-999,0.329171
215,3,3,6587,0,6.95264e-310,2,1e+06,538.894,867.562,649.662,0.002,-999,0,-999,0.306562
216,3,3,7086,0,6.95264e-310,2,1e+06,576.737,926.717,712.585,0.002,-999,0,-999,0.286993
217,3,3,7585,0,6.95264e-310,2,1e+06,614.392,985.469,776.699,0.002,-999,0,-999,0.269883
218,3,3,8084,0,6.95264e-310,2,1e+06,651.872,1043.85,841.945,0.002,-999,0,-999,0.254789
219,3,3,8583,0,6.95264e-310,2,1e+06,689.19,1101.88,908.273,0.002,-999,0,-999,0.241371
220,3,3,9082,0,6.95264e-310,2,1e+06,726.354,1159.59,975.634,0.002,-999,0,-999,0.229359
221,3,3,9581,0,6.95264e-310,2,1e+06,763.375,1216.99,1043.99,0.002,-999,0,-999,0.218541
222,3,3,10080,0,6.95264e-310,2,1e+06,800.26,1273.44,1111.76,0.002,-999,0,-999,0.208852
223,3,3,10579,0,6.95264e-310,2,1e+06,837.015,1326.11,1172.01,0.002,-999,0,-999,0.200557
224,3,3,11078,0,6.95264e-310,2,1e+06,873.649,1378.39,1232.53,0.002,-999,0,-999,0.192951
225,3,3,11577,0,6.95264e-310,2,1e+06,910.166,1430.28,1293.31,0.002,-999,0,-999,0.185951
226,3,3,12076,0,6.95264e-310,2,1e+06,946.573,1481.81,1354.32,0.002,-999,0,-999,0.179484
227,3,3,12575,0,6.95264e-310,2,1e+06,982.873,1533,1415.57,0.002,-999,0,-999,0.17349
228,3,3,13074,0,6.95264e-310,2,1e+06,1019.07,1583.87,1477.05,0.002,-999,0,-999,0.167919
229,3,3,13573,0,6.95264e-310,2,1e+06,1055.17,1634.42,1538.74,0.002,-999,0,-999,0.162725
230,3,3,14072,0,6.95264e-310,2,1e+06,1091.18,1684.68,1600.64,0.002,-999,0,-999,0.157871
231,3,3,14571,0,6.95264e-310,2,1e+06,1127.1,1734.64,1662.75,0.002,-999,0,-999,0.153323
232,3,3,15070,0,6.95264e-310,2,1e+06,1162.93,1784.34,1725.05,0.002,-999,0,-999,0.149054
233,3,3,15569,0,6.95264e-310,2,1e+06,1198.68,1833.76,1787.54,0.002,-999,0,-999,0.145036
234,3,3,16068,0,6.95264e-310,2,1e+06,1234.34,1882.94,1850.22,0.002,-999,0,-999,0.141248
235,3,3,16567,0,6.95264e-310,2,1e+06,1269.93,1931.86,1913.08,0.002,-999,0,-999,0.137671
236,3,3,17066,0,6.95264e-310,2,1e+06,1305.44,1980.55,1976.11,0.002,-999,0,-999,0.134286
237,3,3,17565,0,6.95264e-310,2,1e+06,1340.88,2029.02,2039.32,0.002,-999,0,-999,0.131079
238,3,3,18064,0,6.95264e-310,2,1e+06,1376.25,2077.26,2102.69,0.002,-999,0,-999,0.128035
239,3,3,18563,0,6.95264e-310,2,1e+06,1411.55,2125.28,2166.22,0.002,-999,0,-999,0.125142
240,3,3,19062,0,6.95264e-310,2,1e+06,1446.78,2173.1,2229.91,0.002,-999,0,-999,0.122388
