,index,x,D0,sig_x,sig_y,sig_z,D0U/Q,coef_y,expon_y,coef_z,expon_z,iwind,istab,wind,stab,how
27,1,3.1622776601683795,128424.0142433314,0.443725770736577,3.300422297014693,0.121348914481087,0.7947759541529923,1.0947973767678376,0.9584715286630638,0.0470617680938454,0.8227353125932685,1,2,0.8,C,fit
28,2,10.0,14511.583501038152,1.2936436242823213,9.94959210698005,0.3128985510356104,0.1022448161821417,2.2829552504142,0.639307878089065,0.0088269348355039,1.549593631591197,1,2,0.8,C,fit
29,3,31.6227766016838,953.7837401738784,3.771504692793245,20.7710865721225,1.862946434776964,0.0082260348226515,0.669404397314457,0.9945137699526664,0.0001339333956185,2.7622076587763806,1,2,0.8,C,fit
30,4,100.0,15.152157,10.995491633681334,65.27037393979715,44.80270103215083,0.0001088503498642,0.4969243983239518,1.059212890133591,0.1475193589547783,1.2412275903624763,1,2,0.8,C,fit
31,5,316.227766016838,1.2602857188116965,32.05639290264675,220.9645203699453,187.0328933756592,7.702107733360234e-06,1.9120837913348387,0.8251262503488414,0.1196309662660217,1.2776297527294338,1,2,0.8,C,fit
32,6,1000.0,0.0966566990454698,93.45760609567321,571.3282135086915,814.2033196808154,6.842764403568899e-07,0.5164457661566347,1.0146203165483387,0.1530783120889259,1.24193973463597,1,2,0.8,C,fit
33,7,1778.2794100389228,0.028833101,159.57492626782852,1024.567911814288,1664.247075336791,1.866773274403213e-07,1.6292782451095449,0.8610909204759084,0.4932523258219041,1.0855842032827707,1,2,0.8,C,fit
34,8,3162.2776601683795,0.0093174402278075,272.46746580813414,1681.9515456642755,3108.9508284187955,6.08727320283222e-08,0.548100438223746,0.996272380287893,15.71874710375744,0.6560559790064308,1,2,0.8,C,fit
35,9,5623.413251903491,0.0034099244173999,465.22672239438015,2984.5686675410384,4535.5279539729045,2.351476830532681e-08,4.997556175999613,0.7402997042120639,91.7618169465324,0.4517242249825258,1,2,0.8,C,fit
36,10,10000.0,0.0017940678564882,794.3550346015521,4570.4241034652205,5882.458937078974,1.1839537069432092e-08,0.2559565870656643,1.062947547699948,404.6813483879336,0.2906114289631892,1,2,0.8,C,fit
37,11,31622.776601683792,0.0003700115652703,2315.872535920197,15539.257924887566,8219.863747206888,2.4920412873602596e-09,0.3973674638780757,1.0204973268296749,8.376467336617388,0.6648452709735138,1,2,0.8,C,fit
38,12,100000.0,6.7926234e-05,6751.723560636403,50312.85229632329,17672.06312613861,3.580007482874542e-10,,,,,1,2,0.8,C,fit
39,0,1.0,849468.95,0.1522,1.197704065135913,0.0305256591403704,8.706338597677885,1.197704065135913,0.8050916800562222,0.0305256591403704,0.8893350160220393,1,3,0.8,D,fit
40,1,3.1622776601683795,192821.8874125212,0.443725770736577,3.0261842291340977,0.0849830979022654,1.2377194202599913,0.8474429299586971,1.1055698056321093,0.0325335664722038,0.8340017665806762,1,3,0.8,D,fit
41,2,10.0,19004.92075505613,1.2936436242823213,10.806380777884677,0.2219900156116148,0.1326894576960133,3.1136249630310786,0.5404139659495517,0.007217876039783,1.4879240225484052,1,3,0.8,D,fit
42,3,31.6227766016838,1505.449917772749,3.771504692793245,20.13201519045784,1.2311060144290409,0.0128430278664497,0.5998742015447739,1.0172180430268674,0.0001822574639091,2.5530734201254885,1,3,0.8,D,fit
43,4,100.0,33.730548111390455,10.995491633681334,64.9376055687466,23.271917201335643,0.0002106307107808,0.96834706966853,0.9132326141328602,0.2744397748375141,0.9641925543671844,1,3,0.8,D,fit
44,5,316.227766016838,3.841053874561349,32.05639290264675,185.8286098368843,70.62011822157372,2.425543730804672e-05,1.8069799563938524,0.8048636970983524,0.2454839176711957,0.9835621578788278,1,3,0.8,D,fit
45,6,1000.0,0.4379975718165314,93.45760609567321,469.4014497082104,219.1338753321573,3.094540575794533e-06,0.582446660812225,0.968762755588316,0.2979127433440328,0.9555401461514678,1,3,0.8,D,fit
46,7,1778.2794100389228,0.15499197,159.57492626782852,819.8513487042701,379.8346285624099,1.0221637053900645e-06,1.441176615670068,0.8476978180734338,0.8032711782216725,0.8229945757536359,1,3,0.8,D,fit
