ID,istab,wind,x,y,z,icurve,t,sig_x,sig_y,sig_z, zfunc, cpeak, concentration, dinf, dose
183,3,3,821.8,0,6.93309e-310,1,5000,78.5424,134.463,86.4781,0.00922643,-999,0,-999,9.12471
184,3,3,831.7,0,6.93309e-310,1,5000,79.4134,135.731,87.4734,0.00912145,-999,0,-999,8.9366
185,3,3,841.6,0,6.93309e-310,1,5000,80.2837,136.996,88.4682,0.00901888,-999,0,-999,8.75452
186,3,3,851.5,0,6.93309e-310,1,5000,81.1532,138.258,89.4625,0.00891864,-999,0,-999,8.57821
187,3,3,861.4,0,6.93309e-310,1,5000,82.022,139.517,90.4564,0.00882065,-999,0,-999,8.40742
188,3,3,871.3,0,6.93309e-310,1,5000,82.8902,140.772,91.4498,0.00872484,-999,0,-999,8.24192
189,3,3,881.2,0,6.93309e-310,1,5000,83.7576,142.025,92.4427,0.00863112,-999,0,-999,8.08149
190,3,3,891.1,0,6.93309e-310,1,5000,84.6244,143.275,93.4352,0.00853944,-999,0,-999,7.92591
191,3,3,901,0,6.93309e-310,1,5000,85.4904,144.521,94.4272,0.00844973,-999,0,-999,7.775
192,3,3,910.9,0,6.93309e-310,1,5000,86.3559,145.765,95.4188,0.00836192,-999,0,-999,7.62856
193,3,3,920.8,0,6.93309e-310,1,5000,87.2206,147.005,96.41,0.00827595,-999,0,-999,7.48641
194,3,3,930.7,0,6.93309e-310,1,5000,88.0847,148.243,97.4007,0.00819177,-999,0,-999,7.34839
195,3,3,940.6,0,6.93309e-310,1,5000,88.9482,149.478,98.391,0.00810932,-999,0,-999,7.21432
196,3,3,950.5,0,6.93309e-310,1,5000,89.811,150.71,99.3809,0.00802855,-999,0,-999,7.08407
197,3,3,960.4,0,6.93309e-310,1,5000,90.6732,151.94,100.37,0.0079494,-999,0,-999,6.95747
198,3,3,970.3,0,6.93309e-310,1,5000,91.5348,153.167,101.359,0.00787183,-999,0,-999,6.8344
199,3,3,980.2,0,6.93309e-310,1,5000,92.3958,154.391,102.348,0.00779579,-999,0,-999,6.71472
200,3,3,990.1,0,6.93309e-310,1,5000,93.2561,155.612,103.336,0.00772124,-999,0,-999,6.59831
201,3,3,1000,0,6.93309e-310,1,5000,94.1159,156.856,104.358,0.00764565,-999,0,-999,6.48191
202,3,3,10,0,6.93309e-310,2,5000,6.07669,9.70396,2.0274,0.39355,-999,0,-999,5393.12
203,3,3,19.9,0,6.93309e-310,2,5000,7.12843,13.0128,4.47429,0.178326,-999,0,-999,1822.36
204,3,3,29.8,0,6.93309e-310,2,5000,8.16848,15.7682,6.18097,0.129087,-999,0,-999,1088.65
205,3,3,39.7,0,6.93309e-310,2,5000,9.19853,18.1259,7.23661,0.110257,-999,0,-999,808.897
206,3,3,49.6,0,6.93309e-310,2,5000,10.2199,20.2836,8.22663,0.096988,-999,0,-999,635.861
207,3,3,59.5,0,6.93309e-310,2,5000,11.2335,22.2894,9.16542,0.0870538,-999,0,-999,519.371
208,3,3,69.4,0,6.93309e-310,2,5000,12.2402,24.1747,10.0626,0.0792923,-999,0,-999,436.173
209,3,3,79.3,0,6.93309e-310,2,5000,13.2407,25.9611,10.9249,0.0730334,-999,0,-999,374.1
210,3,3,89.2,0,6.93309e-310,2,5000,14.2354,27.6643,11.7575,0.0678615,-999,0,-999,326.207
211,3,3,99.1,0,6.93309e-310,2,5000,15.2249,29.4994,12.7853,0.0624066,-999,0,-999,281.324
212,3,3,109,0,6.93309e-310,2,5000,16.2095,31.4039,13.8632,0.057554,-999,0,-999,243.714
213,3,3,118.9,0,6.93309e-310,2,5000,17.1896,33.2605,14.9341,0.053427,-999,0,-999,213.61
214,3,3,128.8,0,6.93309e-310,2,5000,18.1655,35.0739,15.9984,0.0498726,-999,0,-999,189.089
215,3,3,138.7,0,6.93309e-310,2,5000,19.1374,36.8483,17.0568,0.0467782,-999,0,-999,168.816
216,3,3,148.6,0,6.93309e-310,2,5000,20.1056,38.5871,18.1095,0.0440589,-999,0,-999,151.838
217,3,3,158.5,0,6.93309e-310,2,5000,21.0702,40.2931,19.157,0.0416498,-999,0,-999,137.458
